I stay up to date on current political topics and issues.,I have developed opinions on political issues and topics.,I am comfortable starting a discussion about political issues with my friends.,I know enough information about politics and political issues to talk about them with people I don’t know very well.,"On average, approximately how many minutes per day do you spend on Facebook?-Minutes Per Day on Facebook",Approximately how many Facebook friends do you have?-Number of Facebook Friends,"On average, how many days per week do you read a newspaper or news magazine?","On average, how many days per week do you watch television news?",What is your age?-Years (Age),What is your sex?,What is your race/ethnicity?
pie1,pie2,pie3,pie4,fbtime,fbfriends,news,tv,age,sex,race
3,2,3,2,60,506,6,1,19,Female,White
3,5,3,5,15,107,6,2,20,Female,Native American
5,5,4,5,60,388,1,7,20,Female,White
5,5,2,2,181,236,1,7,20,Female,White
4,4,2,4,27,488,3,5,21,Female,White
4,4,4,5,22,385,5,2,19,Female,White
3,3,3,3,,,1,2,18,Female,White
4,4,3,3,88,200,5,1,19,Female,White
4,4,4,3,60,414,5,2,18,Female,White
3,2,4,4,58,1205,2,5,18,Female,White
4,2,1,4,,,1,4,19,Female,White
4,5,5,4,19,498,1,3,21,Female,White
4,4,3,4,37,1206,6,6,20,Female,White
4,3,2,4,43,842,3,2,20,Female,White
1,3,1,2,300,512,3,1,19,Female,White
3,4,5,2,32,707,4,5,19,Female,White
4,4,4,4,90,1311,5,5,19,Female,White
2,4,4,2,13,546,1,1,19,Female,White
4,4,4,5,5,373,5,3,18,Female,White
3,4,2,3,0,116,2,4,18,Female,White
5,5,2,3,33,306,1,1,19,Female,White
4,4,3,2,88,792,4,3,19,Female,White
5,5,4,5,60,704,6,6,19,Female,Black
4,4,4,1,60,694,1,2,20,Female,White
4,4,2,4,,,2,4,15,Female,Black
3,4,4,3,11,290,4,1,20,Female,Other
4,4,2,3,17,770,5,1,19,Female,White
2,3,2,2,56,595,1,7,19,Female,White
4,5,5,2,30,320,5,3,19,Female,White
4,5,2,4,45,210,6,4,19,Female,White
3,3,4,2,30,111,1,3,21,Female,White
4,4,4,4,195,1627,3,2,19,Female,White
2,4,3,2,13,400,6,1,19,Female,Asian
3,4,3,2,10,370,2,2,20,Female,White
2,4,1,2,20,802,1,2,18,Female,White
4,4,4,3,15,367,3,1,19,Female,Other
4,4,2,1,229,624,3,3,19,Female,Black
3,4,4,4,56,699,2,3,20,Female,Other
4,1,2,3,28,557,2,2,19,Female,White
2,4,4,2,15,403,1,1,19,Female,White
3,3,4,4,27,689,2,2,18,Female,White
4,4,4,1,104,517,4,2,21,Female,White
4,4,5,4,28,641,2,1,18,Female,White
4,4,3,4,,,3,5,18,Female,Hispanic/Latino
2,4,3,2,90,1213,3,3,19,Female,White
2,3,2,2,58,1608,1,2,18,Female,Black
4,4,3,2,15,614,1,1,18,Female,Asian
2,4,4,4,9,170,5,1,19,Female,White
4,3,3,3,30,407,2,2,18,Female,White
4,5,3,3,15,72,1,1,19,Female,White
3,4,3,2,40,855,1,2,18,Female,White
5,5,5,5,15,503,7,1,25,Female,White
2,3,2,2,14,640,1,3,20,Female,White
5,5,5,5,6,107,4,5,18,Female,White
3,3,3,3,7,1208,3,7,18,Female,White
4,4,2,3,60,352,4,1,22,Female,White
4,4,3,4,90,483,5,4,19,Female,White
4,4,1,1,60,385,1,3,19,Female,White
4,5,4,4,5,183,5,2,21,Female,White
4,5,2,4,14,241,1,2,18,Female,Asian
4,4,3,4,25,802,7,1,20,Female,White
3,4,3,3,26,788,3,1,18,Female,White
4,5,4,4,15,1399,3,6,19,Female,White
4,5,4,4,133,45,7,1,26,Female,White
4,4,4,3,16,760,2,3,19,Female,White
2,4,2,1,40,200,1,1,21,Female,Multiracial
4,4,5,3,28,1011,3,1,20,Female,White
